source_file,extension,status,records_loaded,size_bytes
database/hospital_helpdesk.db,.db,loaded,25,24576
database/schema.sql,.sql,loaded,1,370
faqs/hospital_faqs.json,.json,loaded,20,6446
manuals/patient_portal_manual.pdf,.pdf,loaded,1,3150
pdfs/appointment_policy.pdf,.pdf,loaded,1,3043
pdfs/hospital_faqs.pdf,.pdf,loaded,1,2515
pdfs/insurance_guidelines.pdf,.pdf,loaded,1,3076
provenance/source_manifest.csv,.csv,loaded,5,867
support_logs/deidentified_support_logs.jsonl,.jsonl,loaded,8,2078
tabular/department_info.csv,.csv,loaded,12,1284
tabular/doctor_schedule.csv,.csv,loaded,10,771
tabular/insurance_plans.csv,.csv,loaded,4,450
tabular/service_directory.csv,.csv,loaded,5,517
web_pages/contact_and_hours.html,.html,loaded,1,430
web_pages/patient_rights.html,.html,loaded,1,489
web_pages/portal_help.html,.html,loaded,1,467
web_pages/visitor_information.html,.html,loaded,1,422
