document_id,source_file,source_type,status,original_character_count,cleaned_character_count,characters_removed,operations
database-hospital-helpdesk-db-0001,database/hospital_helpdesk.db,sqlite,cleaned,149,149,0,
database-hospital-helpdesk-db-0002,database/hospital_helpdesk.db,sqlite,cleaned,146,146,0,
database-hospital-helpdesk-db-0003,database/hospital_helpdesk.db,sqlite,cleaned,142,142,0,
database-hospital-helpdesk-db-0004,database/hospital_helpdesk.db,sqlite,cleaned,143,143,0,
database-hospital-helpdesk-db-0005,database/hospital_helpdesk.db,sqlite,cleaned,145,145,0,
database-hospital-helpdesk-db-0006,database/hospital_helpdesk.db,sqlite,cleaned,143,143,0,
database-hospital-helpdesk-db-0007,database/hospital_helpdesk.db,sqlite,cleaned,148,148,0,
database-hospital-helpdesk-db-0008,database/hospital_helpdesk.db,sqlite,cleaned,149,149,0,
database-hospital-helpdesk-db-0009,database/hospital_helpdesk.db,sqlite,cleaned,144,144,0,
database-hospital-helpdesk-db-0010,database/hospital_helpdesk.db,sqlite,cleaned,155,155,0,
database-hospital-helpdesk-db-0011,database/hospital_helpdesk.db,sqlite,cleaned,149,149,0,
database-hospital-helpdesk-db-0012,database/hospital_helpdesk.db,sqlite,cleaned,154,154,0,
database-hospital-helpdesk-db-0013,database/hospital_helpdesk.db,sqlite,cleaned,137,137,0,
database-hospital-helpdesk-db-0014,database/hospital_helpdesk.db,sqlite,cleaned,140,140,0,
database-hospital-helpdesk-db-0015,database/hospital_helpdesk.db,sqlite,cleaned,141,141,0,
database-hospital-helpdesk-db-0016,database/hospital_helpdesk.db,sqlite,cleaned,142,142,0,
database-hospital-helpdesk-db-0017,database/hospital_helpdesk.db,sqlite,cleaned,143,143,0,
database-hospital-helpdesk-db-0018,database/hospital_helpdesk.db,sqlite,cleaned,148,148,0,
database-hospital-helpdesk-db-0019,database/hospital_helpdesk.db,sqlite,cleaned,144,144,0,
database-hospital-helpdesk-db-0020,database/hospital_helpdesk.db,sqlite,cleaned,138,138,0,
database-hospital-helpdesk-db-0021,database/hospital_helpdesk.db,sqlite,cleaned,140,140,0,
database-hospital-helpdesk-db-0022,database/hospital_helpdesk.db,sqlite,cleaned,141,141,0,
database-hospital-helpdesk-db-0023,database/hospital_helpdesk.db,sqlite,cleaned,120,120,0,
database-hospital-helpdesk-db-0024,database/hospital_helpdesk.db,sqlite,cleaned,133,133,0,
database-hospital-helpdesk-db-0025,database/hospital_helpdesk.db,sqlite,cleaned,146,146,0,
database-schema-sql-0001,database/schema.sql,sql,cleaned,365,365,0,
faqs-hospital-faqs-json-0001,faqs/hospital_faqs.json,json,cleaned,267,267,0,
faqs-hospital-faqs-json-0002,faqs/hospital_faqs.json,json,cleaned,281,281,0,
faqs-hospital-faqs-json-0003,faqs/hospital_faqs.json,json,cleaned,294,294,0,
faqs-hospital-faqs-json-0004,faqs/hospital_faqs.json,json,cleaned,244,244,0,
faqs-hospital-faqs-json-0005,faqs/hospital_faqs.json,json,cleaned,259,259,0,
faqs-hospital-faqs-json-0006,faqs/hospital_faqs.json,json,cleaned,247,247,0,
faqs-hospital-faqs-json-0007,faqs/hospital_faqs.json,json,cleaned,282,282,0,
faqs-hospital-faqs-json-0008,faqs/hospital_faqs.json,json,cleaned,262,262,0,
faqs-hospital-faqs-json-0009,faqs/hospital_faqs.json,json,cleaned,261,261,0,
faqs-hospital-faqs-json-0010,faqs/hospital_faqs.json,json,cleaned,257,257,0,
faqs-hospital-faqs-json-0011,faqs/hospital_faqs.json,json,cleaned,264,264,0,
faqs-hospital-faqs-json-0012,faqs/hospital_faqs.json,json,cleaned,270,270,0,
faqs-hospital-faqs-json-0013,faqs/hospital_faqs.json,json,cleaned,231,231,0,
faqs-hospital-faqs-json-0014,faqs/hospital_faqs.json,json,cleaned,257,257,0,
faqs-hospital-faqs-json-0015,faqs/hospital_faqs.json,json,cleaned,257,257,0,
faqs-hospital-faqs-json-0016,faqs/hospital_faqs.json,json,cleaned,227,227,0,
faqs-hospital-faqs-json-0017,faqs/hospital_faqs.json,json,cleaned,245,245,0,
faqs-hospital-faqs-json-0018,faqs/hospital_faqs.json,json,cleaned,252,252,0,
faqs-hospital-faqs-json-0019,faqs/hospital_faqs.json,json,cleaned,283,283,0,
faqs-hospital-faqs-json-0020,faqs/hospital_faqs.json,json,cleaned,283,283,0,
manuals-patient-portal-manual-pdf-0001,manuals/patient_portal_manual.pdf,pdf,cleaned,1055,1054,1,control_characters_removed;wrapped_lines_joined
pdfs-appointment-policy-pdf-0001,pdfs/appointment_policy.pdf,pdf,cleaned,1012,1011,1,control_characters_removed;wrapped_lines_joined
pdfs-hospital-faqs-pdf-0001,pdfs/hospital_faqs.pdf,pdf,cleaned,914,914,0,wrapped_lines_joined
pdfs-insurance-guidelines-pdf-0001,pdfs/insurance_guidelines.pdf,pdf,cleaned,1021,1020,1,control_characters_removed;wrapped_lines_joined
provenance-source-manifest-csv-0001,provenance/source_manifest.csv,csv,cleaned,241,241,0,
provenance-source-manifest-csv-0002,provenance/source_manifest.csv,csv,cleaned,256,256,0,
provenance-source-manifest-csv-0003,provenance/source_manifest.csv,csv,cleaned,246,246,0,
provenance-source-manifest-csv-0004,provenance/source_manifest.csv,csv,cleaned,217,217,0,
provenance-source-manifest-csv-0005,provenance/source_manifest.csv,csv,cleaned,231,231,0,
support-logs-deidentified-support-logs-jsonl-0001,support_logs/deidentified_support_logs.jsonl,jsonl,cleaned,231,231,0,
support-logs-deidentified-support-logs-jsonl-0002,support_logs/deidentified_support_logs.jsonl,jsonl,cleaned,211,211,0,
support-logs-deidentified-support-logs-jsonl-0003,support_logs/deidentified_support_logs.jsonl,jsonl,cleaned,226,226,0,
support-logs-deidentified-support-logs-jsonl-0004,support_logs/deidentified_support_logs.jsonl,jsonl,cleaned,237,237,0,
support-logs-deidentified-support-logs-jsonl-0005,support_logs/deidentified_support_logs.jsonl,jsonl,cleaned,261,261,0,
support-logs-deidentified-support-logs-jsonl-0006,support_logs/deidentified_support_logs.jsonl,jsonl,cleaned,232,232,0,
support-logs-deidentified-support-logs-jsonl-0007,support_logs/deidentified_support_logs.jsonl,jsonl,cleaned,264,264,0,
support-logs-deidentified-support-logs-jsonl-0008,support_logs/deidentified_support_logs.jsonl,jsonl,cleaned,224,224,0,
tabular-department-info-csv-0001,tabular/department_info.csv,csv,cleaned,160,160,0,
tabular-department-info-csv-0002,tabular/department_info.csv,csv,cleaned,157,157,0,
tabular-department-info-csv-0003,tabular/department_info.csv,csv,cleaned,153,153,0,
tabular-department-info-csv-0004,tabular/department_info.csv,csv,cleaned,154,154,0,
tabular-department-info-csv-0005,tabular/department_info.csv,csv,cleaned,156,156,0,
tabular-department-info-csv-0006,tabular/department_info.csv,csv,cleaned,154,154,0,
tabular-department-info-csv-0007,tabular/department_info.csv,csv,cleaned,159,159,0,
tabular-department-info-csv-0008,tabular/department_info.csv,csv,cleaned,160,160,0,
tabular-department-info-csv-0009,tabular/department_info.csv,csv,cleaned,155,155,0,
tabular-department-info-csv-0010,tabular/department_info.csv,csv,cleaned,166,166,0,
tabular-department-info-csv-0011,tabular/department_info.csv,csv,cleaned,160,160,0,
tabular-department-info-csv-0012,tabular/department_info.csv,csv,cleaned,165,165,0,
tabular-doctor-schedule-csv-0001,tabular/doctor_schedule.csv,csv,cleaned,137,137,0,
tabular-doctor-schedule-csv-0002,tabular/doctor_schedule.csv,csv,cleaned,140,140,0,
tabular-doctor-schedule-csv-0003,tabular/doctor_schedule.csv,csv,cleaned,141,141,0,
tabular-doctor-schedule-csv-0004,tabular/doctor_schedule.csv,csv,cleaned,142,142,0,
tabular-doctor-schedule-csv-0005,tabular/doctor_schedule.csv,csv,cleaned,143,143,0,
tabular-doctor-schedule-csv-0006,tabular/doctor_schedule.csv,csv,cleaned,148,148,0,
tabular-doctor-schedule-csv-0007,tabular/doctor_schedule.csv,csv,cleaned,144,144,0,
tabular-doctor-schedule-csv-0008,tabular/doctor_schedule.csv,csv,cleaned,138,138,0,
tabular-doctor-schedule-csv-0009,tabular/doctor_schedule.csv,csv,cleaned,140,140,0,
tabular-doctor-schedule-csv-0010,tabular/doctor_schedule.csv,csv,cleaned,141,141,0,
tabular-insurance-plans-csv-0001,tabular/insurance_plans.csv,csv,cleaned,190,190,0,
tabular-insurance-plans-csv-0002,tabular/insurance_plans.csv,csv,cleaned,195,195,0,
tabular-insurance-plans-csv-0003,tabular/insurance_plans.csv,csv,cleaned,182,182,0,
tabular-insurance-plans-csv-0004,tabular/insurance_plans.csv,csv,cleaned,208,208,0,
tabular-service-directory-csv-0001,tabular/service_directory.csv,csv,cleaned,187,187,0,
tabular-service-directory-csv-0002,tabular/service_directory.csv,csv,cleaned,138,138,0,
tabular-service-directory-csv-0003,tabular/service_directory.csv,csv,cleaned,165,165,0,
tabular-service-directory-csv-0004,tabular/service_directory.csv,csv,cleaned,154,154,0,
tabular-service-directory-csv-0005,tabular/service_directory.csv,csv,cleaned,143,143,0,
web-pages-contact-and-hours-html-0001,web_pages/contact_and_hours.html,html,cleaned,275,257,18,repeated_prefix_removed
web-pages-patient-rights-html-0001,web_pages/patient_rights.html,html,cleaned,334,298,36,repeated_prefix_removed
web-pages-portal-help-html-0001,web_pages/portal_help.html,html,cleaned,312,292,20,repeated_prefix_removed
web-pages-visitor-information-html-0001,web_pages/visitor_information.html,html,cleaned,267,247,20,repeated_prefix_removed
